Reportable name	Marker	Laboratory	Cell Subtype
#CD45+CD3+CD4+ LDT-457	no marker	Laboratory 2	Lymphocyte T, CD4-positive
#CD45+CD3+CD8+ LDT-457	no marker	Laboratory 2	Lymphocyte T, CD8-positive
#CD45+CD3+CD8+ LDT-457	no marker	Laboratory 2	Lymphocyte T, CD8-positive
#CD45+CD3+CD8+ LDT-457	no marker	Laboratory 2	Lymphocyte T, CD8-positive
#CD45+CD3+CD8+ LDT-457	no marker	Laboratory 2	Lymphocyte T, CD8-positive
%CD3+CD4+Ki67+ LDT-457	Ki67	Laboratory 2	Lymphocyte T, CD4-positive
%CD3+CD4+Ki67+HLADR- LDT-457	Ki67+HLA-DR-	Laboratory 2	Lymphocyte T, CD4-positive
%CD3+CD4+Ki67+HLADR+ LDT-457	Ki67+HLA-DR+	Laboratory 2	Lymphocyte T, CD4-positive
%CD3+CD8+Ki67+ LDT-457	Ki67	Laboratory 2	Lymphocyte T, CD8-positive
%CD3+CD8+Ki67+ LDT-457	Ki67	Laboratory 2	Lymphocyte T, CD8-positive
%CD3+CD8+Ki67+ LDT-457	Ki67	Laboratory 2	Lymphocyte T, CD8-positive
%CD3+CD8+Ki67+ LDT-457	Ki67	Laboratory 2	Lymphocyte T, CD8-positive
%CD3+CD8+Ki67+HLADR-	Ki67+HLA-DR-	Laboratory 2	Lymphocyte T, CD8-positive
%CD3+CD8+Ki67+HLADR-	Ki67+HLA-DR-	Laboratory 2	Lymphocyte T, CD8-positive
%CD3+CD8+Ki67+HLADR-	Ki67+HLA-DR-	Laboratory 2	Lymphocyte T, CD8-positive
%CD3+CD8+Ki67+HLADR-	Ki67+HLA-DR-	Laboratory 2	Lymphocyte T, CD8-positive
%CD3+CD8+Ki67+HLADR+	Ki67+HLA-DR+	Laboratory 2	Lymphocyte T, CD8-positive
%CD3+CD8+Ki67+HLADR+	Ki67+HLA-DR+	Laboratory 2	Lymphocyte T, CD8-positive
%CD3+CD8+Ki67+HLADR+	Ki67+HLA-DR+	Laboratory 2	Lymphocyte T, CD8-positive
%CD3+CD8+Ki67+HLADR+	Ki67+HLA-DR+	Laboratory 2	Lymphocyte T, CD8-positive
%CD45+CD3+ LDT-457	no marker	Laboratory 2	Lymphocyte T
%CD45+CD3+CD4+ LDT-457	no marker	Laboratory 2	Lymphocyte T, CD4-positive
%CD45+CD3+CD8+ LDT-457	no marker	Laboratory 2	Lymphocyte T, CD8-positive
%CD45+CD3+CD8+ LDT-457	no marker	Laboratory 2	Lymphocyte T, CD8-positive
%CD45+CD3+CD8+ LDT-457	no marker	Laboratory 2	Lymphocyte T, CD8-positive
%CD45+CD3+CD8+ LDT-457	no marker	Laboratory 2	Lymphocyte T, CD8-positive
%CD45+CD3+Ki67+ LDT-457	Ki67	Laboratory 2	Lymphocyte T
%Intermediate Neut-CC-LDT-CL	no marker	Laboratory 2	Intermediate Neutrophils
%Intermediate Neut-CC-LDT-CL	no marker	Laboratory 2	Intermediate Neutrophils
%Mature Neutrophils-CC-LDT-CL	no marker	Laboratory 2	Mature neutrophil
%Mature Neutrophils-CC-LDT-CL	no marker	Laboratory 2	Mature neutrophil
Intermediate Neut-CC-LDT-CL	no marker	Laboratory 2	Intermediate Neutrophils
Intermediate Neut-CC-LDT-CL	no marker	Laboratory 2	Intermediate Neutrophils
Mature Neutrophils-CC-LDT-CL	no marker	Laboratory 2	Mature neutrophil
Mature Neutrophils-CC-LDT-CL	no marker	Laboratory 2	Mature neutrophil
Total Monocytes-CC-LDT-CL	no marker	Laboratory 2	Monocyte
Total Monocytes-CC-LDT-CL	no marker	Laboratory 2	Monocyte
Total Neutrophils-CC-LDT-CL	no marker	Laboratory 2	Neutrophil
Total Neutrophils-CC-LDT-CL	no marker	Laboratory 2	Neutrophil
%Classical Monocytes-CC-LDT-CL	no marker	Laboratory 2	Classical monocyte
%Classical Monocytes-CC-LDT-CL	no marker	Laboratory 2	Classical monocyte
%Immature Neut-CC-LDT-CL	no marker	Laboratory 2	Immature neutrophil
%Immature Neut-CC-LDT-CL	no marker	Laboratory 2	Immature neutrophil
%Intermediate Mono-CC-LDT-CL	no marker	Laboratory 2	Intermediate monocyte
%Intermediate Mono-CC-LDT-CL	no marker	Laboratory 2	Intermediate monocyte
%Pro-inflamm Mono-CC-LDT-CL	no marker	Laboratory 2	Non classical monocyte
%Pro-inflamm Mono-CC-LDT-CL	no marker	Laboratory 2	Non classical monocyte
CD11b+ % CMono-CC-LDT-CL	CD11b	Laboratory 2	Classical monocyte
CD11b+ % Mono-CC-LDT-CL	CD11b	Laboratory 2	Monocyte
Classical Monocytes-CC-LDT-CL	no marker	Laboratory 2	Classical monocyte
Classical Monocytes-CC-LDT-CL	no marker	Laboratory 2	Classical monocyte
Immature Neut-CC-LDT-CL	no marker	Laboratory 2	Immature neutrophil
Immature Neut-CC-LDT-CL	no marker	Laboratory 2	Immature neutrophil
Intermediate Mono-CC-LDT-CL	no marker	Laboratory 2	Intermediate monocyte
Intermediate Mono-CC-LDT-CL	no marker	Laboratory 2	Intermediate monocyte
Pro-inflamm Mono-CC-LDT-CL	no marker	Laboratory 2	Non classical monocyte
Pro-inflamm Mono-CC-LDT-CL	no marker	Laboratory 2	Non classical monocyte
CD11b+ % IntMono-CC-LDT-CL	CD11b	Laboratory 2	Intermediate monocyte
CD11b+ % PIMono-CC-LDT-CL	CD11b	Laboratory 2	Non classical monocyte
CD11b+ CMono ABC-CC-LDT-CL	CD11b	Laboratory 2	Classical monocyte
CD11b+ CMono Abs-CC-LDT-CL	CD11b	Laboratory 2	Classical monocyte
CD11b+ IntMono ABC-CC-LDT-CL	CD11b	Laboratory 2	Intermediate monocyte
CD11b+ IntMono Abs-CC-LDT-CL	CD11b	Laboratory 2	Intermediate monocyte
CD11b+ Mono ABC-CC-LDT-CL	CD11b	Laboratory 2	Monocyte
CD11b+ Mono Abs-CC-LDT-CL	CD11b	Laboratory 2	Monocyte
CD11b+ PIMono ABC-CC-LDT-CL	CD11b	Laboratory 2	Non classical monocyte
CD11b+ PIMono Abs-CC-LDT-CL	CD11b	Laboratory 2	Non classical monocyte
%Classical Monocytes-CC-LDT-CL	no marker	Laboratory 2	Classical monocyte
%Classical Monocytes-CC-LDT-CL	no marker	Laboratory 2	Classical monocyte
%Immature Neut-CC-LDT-CL	no marker	Laboratory 2	Immature neutrophil
%Immature Neut-CC-LDT-CL	no marker	Laboratory 2	Immature neutrophil
%Intermediate Mono-CC-LDT-CL	no marker	Laboratory 2	Intermediate monocyte
%Intermediate Mono-CC-LDT-CL	no marker	Laboratory 2	Intermediate monocyte
%Intermediate Neut-CC-LDT-CL	no marker	Laboratory 2	Intermediate Neutrophils
%Intermediate Neut-CC-LDT-CL	no marker	Laboratory 2	Intermediate Neutrophils
%Mature Neutrophils-CC-LDT-CL	no marker	Laboratory 2	Mature neutrophil
%Mature Neutrophils-CC-LDT-CL	no marker	Laboratory 2	Mature neutrophil
%Pro-inflamm Mono-CC-LDT-CL	no marker	Laboratory 2	Non classical monocyte
%Pro-inflamm Mono-CC-LDT-CL	no marker	Laboratory 2	Non classical monocyte
Classical Monocytes-CC-LDT-CL	no marker	Laboratory 2	Classical monocyte
Classical Monocytes-CC-LDT-CL	no marker	Laboratory 2	Classical monocyte
Immature Neut-CC-LDT-CL	no marker	Laboratory 2	Immature neutrophil
Immature Neut-CC-LDT-CL	no marker	Laboratory 2	Immature neutrophil
Intermediate Mono-CC-LDT-CL	no marker	Laboratory 2	Intermediate monocyte
Intermediate Mono-CC-LDT-CL	no marker	Laboratory 2	Intermediate monocyte
Intermediate Neut-CC-LDT-CL	no marker	Laboratory 2	Intermediate Neutrophils
Intermediate Neut-CC-LDT-CL	no marker	Laboratory 2	Intermediate Neutrophils
Mature Neutrophils-CC-LDT-CL	no marker	Laboratory 2	Mature neutrophil
Mature Neutrophils-CC-LDT-CL	no marker	Laboratory 2	Mature neutrophil
Pro-inflamm Mono-CC-LDT-CL	no marker	Laboratory 2	Non classical monocyte
Pro-inflamm Mono-CC-LDT-CL	no marker	Laboratory 2	Non classical monocyte
Total Monocytes-CC-LDT-CL	no marker	Laboratory 2	Monocyte
Total Monocytes-CC-LDT-CL	no marker	Laboratory 2	Monocyte
Total Neutrophils-CC-LDT-CL	no marker	Laboratory 2	Neutrophil
Total Neutrophils-CC-LDT-CL	no marker	Laboratory 2	Neutrophil
%CD3+/CD4+/CD71+-CL	CD71	Laboratory 2	Lymphocyte T, CD4-positive
%CD3+/CD4+/EOMES+-CL	EOMES	Laboratory 2	Lymphocyte T, CD4-positive
%CD3+/CD4+/HLA-DR+/Ki67+-CL	HLA-DR+Ki67+	Laboratory 2	Lymphocyte T, CD4-positive
%CD3+/CD4+/HLA-DR+-CL	HLA-DR	Laboratory 2	Lymphocyte T, CD4-positive
%CD3+/CD4+/ICOS+/CD71+-CL	CD278+CD71+	Laboratory 2	Lymphocyte T, CD4-positive
%CD3+/CD4+/ICOS+/Ki67+-CL	CD278+Ki67+	Laboratory 2	Lymphocyte T, CD4-positive
%CD3+/CD4+/ICOS+-CL	CD278	Laboratory 2	Lymphocyte T, CD4-positive
%CD3+/CD4+/Ki67+-CL	Ki67	Laboratory 2	Lymphocyte T, CD4-positive
%CD3+/CD8+/ICOS+/CD71+-CL	CD278+CD71+	Laboratory 2	Lymphocyte T, CD8-positive
%CD3+/CD8+/ICOS+/CD71+-CL	CD278+CD71+	Laboratory 2	Lymphocyte T, CD8-positive
%CD3+/CD8+/ICOS+/CD71+-CL	CD278+CD71+	Laboratory 2	Lymphocyte T, CD8-positive
%CD3+/CD8+/ICOS+/CD71+-CL	CD278+CD71+	Laboratory 2	Lymphocyte T, CD8-positive
%CD3+/CD8+/ICOS+/Ki67+-CL	CD278+Ki67+	Laboratory 2	Lymphocyte T, CD8-positive
%CD3+/CD8+/ICOS+/Ki67+-CL	CD278+Ki67+	Laboratory 2	Lymphocyte T, CD8-positive
%CD3+/CD8+/ICOS+/Ki67+-CL	CD278+Ki67+	Laboratory 2	Lymphocyte T, CD8-positive
%CD3+/CD8+/ICOS+/Ki67+-CL	CD278+Ki67+	Laboratory 2	Lymphocyte T, CD8-positive
%CD3+/CD8+/ICOS+-CL	CD278	Laboratory 2	Lymphocyte T, CD8-positive
%CD3+/CD8+/ICOS+-CL	CD278	Laboratory 2	Lymphocyte T, CD8-positive
%CD3+/CD8+/ICOS+-CL	CD278	Laboratory 2	Lymphocyte T, CD8-positive
%CD3+/CD8+/ICOS+-CL	CD278	Laboratory 2	Lymphocyte T, CD8-positive
%CD3+/CD8+/Ki67+-CL	Ki67	Laboratory 2	Lymphocyte T, CD8-positive
%CD3+/CD8+/Ki67+-CL	Ki67	Laboratory 2	Lymphocyte T, CD8-positive
%CD3+/CD8+/Ki67+-CL	Ki67	Laboratory 2	Lymphocyte T, CD8-positive
%CD3+/CD8+/Ki67+-CL	Ki67	Laboratory 2	Lymphocyte T, CD8-positive
%CD3+ (IC)-CL	no marker	Laboratory 2	Lymphocyte T
%CD3+/CD4+ (IC)-CL	no marker	Laboratory 2	Lymphocyte T, CD4-positive
%CD3+/CD8+ (IC)-CL	no marker	Laboratory 2	Lymphocyte T, CD8-positive
%CD3+/CD8+ (IC)-CL	no marker	Laboratory 2	Lymphocyte T, CD8-positive
%CD3+/CD8+ (IC)-CL	no marker	Laboratory 2	Lymphocyte T, CD8-positive
%CD3+/CD8+ (IC)-CL	no marker	Laboratory 2	Lymphocyte T, CD8-positive
%CD3+/CD8+/CD71+-CL	CD71	Laboratory 2	Lymphocyte T, CD8-positive
%CD3+/CD8+/CD71+-CL	CD71	Laboratory 2	Lymphocyte T, CD8-positive
%CD3+/CD8+/CD71+-CL	CD71	Laboratory 2	Lymphocyte T, CD8-positive
%CD3+/CD8+/CD71+-CL	CD71	Laboratory 2	Lymphocyte T, CD8-positive
%CD3+/CD8+/EOMES+-CL	EOMES	Laboratory 2	Lymphocyte T, CD8-positive
%CD3+/CD8+/EOMES+-CL	EOMES	Laboratory 2	Lymphocyte T, CD8-positive
%CD3+/CD8+/EOMES+-CL	EOMES	Laboratory 2	Lymphocyte T, CD8-positive
%CD3+/CD8+/EOMES+-CL	EOMES	Laboratory 2	Lymphocyte T, CD8-positive
%CD3+/CD8+/HLA-DR+/Ki67+-CL	HLA-DR+Ki67+	Laboratory 2	Lymphocyte T, CD8-positive
%CD3+/CD8+/HLA-DR+/Ki67+-CL	HLA-DR+Ki67+	Laboratory 2	Lymphocyte T, CD8-positive
%CD3+/CD8+/HLA-DR+/Ki67+-CL	HLA-DR+Ki67+	Laboratory 2	Lymphocyte T, CD8-positive
%CD3+/CD8+/HLA-DR+/Ki67+-CL	HLA-DR+Ki67+	Laboratory 2	Lymphocyte T, CD8-positive
%CD3+/CD8+/HLA-DR+-CL	HLA-DR	Laboratory 2	Lymphocyte T, CD8-positive
%CD3+/CD8+/HLA-DR+-CL	HLA-DR	Laboratory 2	Lymphocyte T, CD8-positive
%CD3+/CD8+/HLA-DR+-CL	HLA-DR	Laboratory 2	Lymphocyte T, CD8-positive
%CD3+/CD8+/HLA-DR+-CL	HLA-DR	Laboratory 2	Lymphocyte T, CD8-positive
%Lymphs (IC)-CL	no marker	Laboratory 2	Lymphocyte
Event Count 3+/4+ (IC)-CL	no marker	Laboratory 2	Lymphocyte T, CD4-positive
Event Count 3+/8+ (IC)-CL	no marker	Laboratory 2	Lymphocyte T, CD8-positive
Event Count 3+/8+ (IC)-CL	no marker	Laboratory 2	Lymphocyte T, CD8-positive
Event Count 3+/8+ (IC)-CL	no marker	Laboratory 2	Lymphocyte T, CD8-positive
Event Count 3+/8+ (IC)-CL	no marker	Laboratory 2	Lymphocyte T, CD8-positive
Event Count CD3+ (IC)-CL	no marker	Laboratory 2	Lymphocyte T
Event Count Lymphs (IC)-CL	no marker	Laboratory 2	Lymphocyte
%EOMES+ (CD3+/CD4+)-CL	EOMES	Laboratory 2	Lymphocyte T, CD4-positive
%HLA-DR+ (CD3+/CD4+)-CL	HLA-DR	Laboratory 2	Lymphocyte T, CD4-positive
%HLA-DR+/Ki67+ (3+/4+)-CL	HLA-DR+Ki67+	Laboratory 2	Lymphocyte T, CD4-positive
%ICOS+ (CD3+/CD4+)-CL	CD278	Laboratory 2	Lymphocyte T, CD4-positive
%ICOS+/Ki67+ (CD3+/CD4+)-CL	CD278+Ki67+	Laboratory 2	Lymphocyte T, CD4-positive
%Ki67+ (CD3+/CD4+)-CL	Ki67	Laboratory 2	Lymphocyte T, CD4-positive
EventCount EOMES+ (3+4+)-CL	EOMES	Laboratory 2	Lymphocyte T, CD4-positive
EventCount HLA-DR+ (3+4+)-CL	HLA-DR	Laboratory 2	Lymphocyte T, CD4-positive
EventCount ICOS+ (3+/4+)-CL	CD278	Laboratory 2	Lymphocyte T, CD4-positive
EventCount Ki67+ (3+/4+)-CL	Ki67	Laboratory 2	Lymphocyte T, CD4-positive
EventCt HLADR+Ki67+(3+4+)-CL	HLA-DR+Ki67+	Laboratory 2	Lymphocyte T, CD4-positive
EventCt ICOS+Ki67+ (3+4+)-CL	CD278+Ki67+	Laboratory 2	Lymphocyte T, CD4-positive
%EOMES+ (CD3+/CD8+)-CL	EOMES	Laboratory 2	Lymphocyte T, CD8-positive
%EOMES+ (CD3+/CD8+)-CL	EOMES	Laboratory 2	Lymphocyte T, CD8-positive
%EOMES+ (CD3+/CD8+)-CL	EOMES	Laboratory 2	Lymphocyte T, CD8-positive
%EOMES+ (CD3+/CD8+)-CL	EOMES	Laboratory 2	Lymphocyte T, CD8-positive
%HLA-DR+ (CD3+/CD8+)-CL	HLA-DR	Laboratory 2	Lymphocyte T, CD8-positive
%HLA-DR+ (CD3+/CD8+)-CL	HLA-DR	Laboratory 2	Lymphocyte T, CD8-positive
%HLA-DR+ (CD3+/CD8+)-CL	HLA-DR	Laboratory 2	Lymphocyte T, CD8-positive
%HLA-DR+ (CD3+/CD8+)-CL	HLA-DR	Laboratory 2	Lymphocyte T, CD8-positive
%HLA-DR+/Ki67+ (3+/8+)-CL	HLA-DR+Ki67+	Laboratory 2	Lymphocyte T, CD8-positive
%HLA-DR+/Ki67+ (3+/8+)-CL	HLA-DR+Ki67+	Laboratory 2	Lymphocyte T, CD8-positive
%HLA-DR+/Ki67+ (3+/8+)-CL	HLA-DR+Ki67+	Laboratory 2	Lymphocyte T, CD8-positive
%HLA-DR+/Ki67+ (3+/8+)-CL	HLA-DR+Ki67+	Laboratory 2	Lymphocyte T, CD8-positive
%ICOS+ (CD3+/CD8+)-CL	CD278	Laboratory 2	Lymphocyte T, CD8-positive
%ICOS+ (CD3+/CD8+)-CL	CD278	Laboratory 2	Lymphocyte T, CD8-positive
%ICOS+ (CD3+/CD8+)-CL	CD278	Laboratory 2	Lymphocyte T, CD8-positive
%ICOS+ (CD3+/CD8+)-CL	CD278	Laboratory 2	Lymphocyte T, CD8-positive
%ICOS+/Ki67+ (CD3+/CD8+)-CL	CD278+Ki67+	Laboratory 2	Lymphocyte T, CD8-positive
%ICOS+/Ki67+ (CD3+/CD8+)-CL	CD278+Ki67+	Laboratory 2	Lymphocyte T, CD8-positive
%ICOS+/Ki67+ (CD3+/CD8+)-CL	CD278+Ki67+	Laboratory 2	Lymphocyte T, CD8-positive
%ICOS+/Ki67+ (CD3+/CD8+)-CL	CD278+Ki67+	Laboratory 2	Lymphocyte T, CD8-positive
%Ki67+ (CD3+/CD8+)-CL	Ki67	Laboratory 2	Lymphocyte T, CD8-positive
%Ki67+ (CD3+/CD8+)-CL	Ki67	Laboratory 2	Lymphocyte T, CD8-positive
%Ki67+ (CD3+/CD8+)-CL	Ki67	Laboratory 2	Lymphocyte T, CD8-positive
%Ki67+ (CD3+/CD8+)-CL	Ki67	Laboratory 2	Lymphocyte T, CD8-positive
Event Count ICOS+ (3+8+)-CL	CD278	Laboratory 2	Lymphocyte T, CD8-positive
Event Count ICOS+ (3+8+)-CL	CD278	Laboratory 2	Lymphocyte T, CD8-positive
Event Count ICOS+ (3+8+)-CL	CD278	Laboratory 2	Lymphocyte T, CD8-positive
Event Count ICOS+ (3+8+)-CL	CD278	Laboratory 2	Lymphocyte T, CD8-positive
Event Count Ki67+ (3+8+)-CL	Ki67	Laboratory 2	Lymphocyte T, CD8-positive
Event Count Ki67+ (3+8+)-CL	Ki67	Laboratory 2	Lymphocyte T, CD8-positive
Event Count Ki67+ (3+8+)-CL	Ki67	Laboratory 2	Lymphocyte T, CD8-positive
Event Count Ki67+ (3+8+)-CL	Ki67	Laboratory 2	Lymphocyte T, CD8-positive
EventCount EOMES+ (3+8+)-CL	EOMES	Laboratory 2	Lymphocyte T, CD8-positive
EventCount EOMES+ (3+8+)-CL	EOMES	Laboratory 2	Lymphocyte T, CD8-positive
EventCount EOMES+ (3+8+)-CL	EOMES	Laboratory 2	Lymphocyte T, CD8-positive
EventCount EOMES+ (3+8+)-CL	EOMES	Laboratory 2	Lymphocyte T, CD8-positive
EventCount HLA-DR+ (3+8+)-CL	HLA-DR	Laboratory 2	Lymphocyte T, CD8-positive
EventCount HLA-DR+ (3+8+)-CL	HLA-DR	Laboratory 2	Lymphocyte T, CD8-positive
EventCount HLA-DR+ (3+8+)-CL	HLA-DR	Laboratory 2	Lymphocyte T, CD8-positive
EventCount HLA-DR+ (3+8+)-CL	HLA-DR	Laboratory 2	Lymphocyte T, CD8-positive
EventCt HLADR+Ki67+(3+8+)-CL	HLA-DR+Ki67+	Laboratory 2	Lymphocyte T, CD8-positive
EventCt HLADR+Ki67+(3+8+)-CL	HLA-DR+Ki67+	Laboratory 2	Lymphocyte T, CD8-positive
EventCt HLADR+Ki67+(3+8+)-CL	HLA-DR+Ki67+	Laboratory 2	Lymphocyte T, CD8-positive
EventCt HLADR+Ki67+(3+8+)-CL	HLA-DR+Ki67+	Laboratory 2	Lymphocyte T, CD8-positive
EventCt ICOS+Ki67+ (3+8+)-CL	CD278+Ki67+	Laboratory 2	Lymphocyte T, CD8-positive
EventCt ICOS+Ki67+ (3+8+)-CL	CD278+Ki67+	Laboratory 2	Lymphocyte T, CD8-positive
EventCt ICOS+Ki67+ (3+8+)-CL	CD278+Ki67+	Laboratory 2	Lymphocyte T, CD8-positive
EventCt ICOS+Ki67+ (3+8+)-CL	CD278+Ki67+	Laboratory 2	Lymphocyte T, CD8-positive
Abs EOMES+ (CD3+/CD4+)-CL	EOMES	Laboratory 2	Lymphocyte T, CD4-positive
Abs HLA-DR+ (CD3+/CD4+)-CL	HLA-DR	Laboratory 2	Lymphocyte T, CD4-positive
Abs HLA-DR+/Ki67+ (3+/4+)-CL	HLA-DR+Ki67+	Laboratory 2	Lymphocyte T, CD4-positive
Abs ICOS+ (CD3+/CD4+)-CL	CD278	Laboratory 2	Lymphocyte T, CD4-positive
Abs ICOS+ (CD3+/CD8+)-CL	CD278	Laboratory 2	Lymphocyte T, CD8-positive
Abs ICOS+ (CD3+/CD8+)-CL	CD278	Laboratory 2	Lymphocyte T, CD8-positive
Abs ICOS+ (CD3+/CD8+)-CL	CD278	Laboratory 2	Lymphocyte T, CD8-positive
Abs ICOS+ (CD3+/CD8+)-CL	CD278	Laboratory 2	Lymphocyte T, CD8-positive
Abs ICOS+/Ki67+ (3+/4+)-CL	CD278+Ki67+	Laboratory 2	Lymphocyte T, CD4-positive
Abs ICOS+/Ki67+ (3+/8+)-CL	CD278+Ki67+	Laboratory 2	Lymphocyte T, CD8-positive
Abs ICOS+/Ki67+ (3+/8+)-CL	CD278+Ki67+	Laboratory 2	Lymphocyte T, CD8-positive
Abs ICOS+/Ki67+ (3+/8+)-CL	CD278+Ki67+	Laboratory 2	Lymphocyte T, CD8-positive
Abs ICOS+/Ki67+ (3+/8+)-CL	CD278+Ki67+	Laboratory 2	Lymphocyte T, CD8-positive
Abs Ki67+ (CD3+/CD4+)-CL	Ki67	Laboratory 2	Lymphocyte T, CD4-positive
Absolute CD3+ (IC)-CL	no marker	Laboratory 2	Lymphocyte T
Absolute CD3+/CD4+ (IC)-CL	no marker	Laboratory 2	Lymphocyte T, CD4-positive
Absolute CD3+/CD8+ (IC)-CL	no marker	Laboratory 2	Lymphocyte T, CD8-positive
Absolute CD3+/CD8+ (IC)-CL	no marker	Laboratory 2	Lymphocyte T, CD8-positive
Absolute CD3+/CD8+ (IC)-CL	no marker	Laboratory 2	Lymphocyte T, CD8-positive
Absolute CD3+/CD8+ (IC)-CL	no marker	Laboratory 2	Lymphocyte T, CD8-positive
Absolute Lymphs (IC)-CL	no marker	Laboratory 2	Lymphocyte
Abs EOMES+ (CD3+/CD8+)-CL	EOMES	Laboratory 2	Lymphocyte T, CD8-positive
Abs EOMES+ (CD3+/CD8+)-CL	EOMES	Laboratory 2	Lymphocyte T, CD8-positive
Abs EOMES+ (CD3+/CD8+)-CL	EOMES	Laboratory 2	Lymphocyte T, CD8-positive
Abs EOMES+ (CD3+/CD8+)-CL	EOMES	Laboratory 2	Lymphocyte T, CD8-positive
Abs HLA-DR+ (CD3+/CD8+)-CL	HLA-DR	Laboratory 2	Lymphocyte T, CD8-positive
Abs HLA-DR+ (CD3+/CD8+)-CL	HLA-DR	Laboratory 2	Lymphocyte T, CD8-positive
Abs HLA-DR+ (CD3+/CD8+)-CL	HLA-DR	Laboratory 2	Lymphocyte T, CD8-positive
Abs HLA-DR+ (CD3+/CD8+)-CL	HLA-DR	Laboratory 2	Lymphocyte T, CD8-positive
Abs HLA-DR+/Ki67+ (3+/8+)-CL	HLA-DR+Ki67+	Laboratory 2	Lymphocyte T, CD8-positive
Abs HLA-DR+/Ki67+ (3+/8+)-CL	HLA-DR+Ki67+	Laboratory 2	Lymphocyte T, CD8-positive
Abs HLA-DR+/Ki67+ (3+/8+)-CL	HLA-DR+Ki67+	Laboratory 2	Lymphocyte T, CD8-positive
Abs HLA-DR+/Ki67+ (3+/8+)-CL	HLA-DR+Ki67+	Laboratory 2	Lymphocyte T, CD8-positive
Abs Ki67+ (CD3+/CD8+)-CL	Ki67	Laboratory 2	Lymphocyte T, CD8-positive
Abs Ki67+ (CD3+/CD8+)-CL	Ki67	Laboratory 2	Lymphocyte T, CD8-positive
Abs Ki67+ (CD3+/CD8+)-CL	Ki67	Laboratory 2	Lymphocyte T, CD8-positive
Abs Ki67+ (CD3+/CD8+)-CL	Ki67	Laboratory 2	Lymphocyte T, CD8-positive
%CD4 Central Mem.CytochexLDTCL	no marker	Laboratory 2	Lymphocyte T, CD4-positive, central memory
%CD4 Naive-Cytochex-LDT-CL	no marker	Laboratory 2	Lymphocyte T, CD4-positive, naive
%CD4Effector Mem.CytochexLDTCL	no marker	Laboratory 2	Lymphocyte T, CD4-positive, effector memory
%CD8 Central Mem.CytochexLDTCL	no marker	Laboratory 2	Lymphocyte T, CD8-positive, central memory
%CD8 Naive-Cytochex-LDT-CL	no marker	Laboratory 2	Lymphocyte T, CD8-positive, naive
CD4 Central Mem.CytochexLDTCL	no marker	Laboratory 2	Lymphocyte T, CD4-positive, central memory
CD4 Effector Mem.CytochexLDTCL	no marker	Laboratory 2	Lymphocyte T, CD4-positive, effector memory
CD4 Naive-Cytochex-LDT-CL	no marker	Laboratory 2	Lymphocyte T, CD4-positive, naive
CD8 Naive-Cytochex-LDT-CL	no marker	Laboratory 2	Lymphocyte T, CD8-positive, naive
%CD8Effector Mem.CytochexLDTCL	no marker	Laboratory 2	Lymphocyte T, CD8-positive, effector memory
%CD8Effector Mem.CytochexLDTCL	no marker	Laboratory 2	Lymphocyte T, CD8-positive, effector memory
%CD8Effector Mem.CytochexLDTCL	no marker	Laboratory 2	Lymphocyte T, CD8-positive, effector memory
%CD8Effector Mem.CytochexLDTCL	no marker	Laboratory 2	Lymphocyte T, CD8-positive, effector memory
%Diff.Effect.Mem.CytochexLDTCL	no marker	Laboratory 2	Lymphocyte T, CD8-positive, effector memory, terminally differentiated
%Th1-Cytochex-LDT-CL	no marker	Laboratory 2	Lymphocyte T, helper type 1
%Treg-Cytochex-LDT-CL	no marker	Laboratory 2	Lymphocyte T, CD4-positive, regulatory
%Treg-Cytochex-LDT-CL	no marker	Laboratory 2	Lymphocyte T, CD4-positive, regulatory
%Treg-Cytochex-LDT-CL	no marker	Laboratory 2	Lymphocyte T, CD4-positive, regulatory
%Treg-Cytochex-LDT-CL	no marker	Laboratory 2	Lymphocyte T, CD4-positive, regulatory
CD8 Central Mem.CytochexLDTCL	no marker	Laboratory 2	Lymphocyte T, CD8-positive, central memory
CD8Effector Mem.Cytochex-LDTCL	no marker	Laboratory 2	Lymphocyte T, CD8-positive, effector memory
CD8Effector Mem.Cytochex-LDTCL	no marker	Laboratory 2	Lymphocyte T, CD8-positive, effector memory
CD8Effector Mem.Cytochex-LDTCL	no marker	Laboratory 2	Lymphocyte T, CD8-positive, effector memory
CD8Effector Mem.Cytochex-LDTCL	no marker	Laboratory 2	Lymphocyte T, CD8-positive, effector memory
Diff.Effect. Mem.CytochexLDTCL	no marker	Laboratory 2	Lymphocyte T, CD8-positive, effector memory, terminally differentiated
Th1-Cytochex-LDT-CL	no marker	Laboratory 2	Lymphocyte T, helper type 1
Treg-Cytochex-LDT-CL	no marker	Laboratory 2	Lymphocyte T, CD4-positive, regulatory
CD16+56 % Cyto-Chex BCT-CL	no marker	Laboratory 2	Natural killer cell
CD16+56 % Cyto-Chex BCT-CL	no marker	Laboratory 2	Natural killer cell
CD16+56 % Cyto-Chex BCT-CL	no marker	Laboratory 2	Natural killer cell
CD16+56 % Cyto-Chex BCT-CL	no marker	Laboratory 2	Natural killer cell
CD16+56 Abs Cyto-Chex BCT-CL	no marker	Laboratory 2	Natural killer cell
CD16+56 Abs Cyto-Chex BCT-CL	no marker	Laboratory 2	Natural killer cell
CD16+56 Abs Cyto-Chex BCT-CL	no marker	Laboratory 2	Natural killer cell
